Log: /Users/johntang/Desktop/clients/baam-local/tmp/corridor_pipeline_20260402_230037.log
=== discover lower-east-side-ny ===
🇨🇳 Discover Chinese Businesses — lower-east-side-ny
   Mode: ✅ APPLY
   Queries: 124 × 5 zones = 620 searches

📊 Existing businesses: 8426


📍 Zone: East Village core (40.729, -73.987)
  [1/620] 曼哈顿东村中餐              → 20 results, 9 new
  [2/620] 曼哈顿东村川菜              → 20 results, 0 new
  [3/620] 曼哈顿东村粤菜              → 20 results, 5 new
  [4/620] 曼哈顿东村东北菜             → 20 results, 2 new
  [5/620] 曼哈顿东村湘菜              → 20 results, 1 new
  [6/620] 曼哈顿东村上海菜             → 20 results, 2 new
  [7/620] 曼哈顿东村北京菜             → 20 results, 1 new
  [8/620] 曼哈顿东村江浙菜             → 15 results, 0 new
  [9/620] 曼哈顿东村客家菜             → 10 results, 4 new
  [10/620] 曼哈顿东村云南菜             → 20 results, 0 new
  [11/620] 曼哈顿东村福建菜             → 19 results, 1 new
  [12/620] 曼哈顿东村台湾菜             → 15 results, 5 new
  [13/620] 曼哈顿东村小吃              → 20 results, 4 new
  [14/620] 曼哈顿东村火锅              → 14 results, 0 new
  [15/620] 曼哈顿东村麻辣烫             → 10 results, 0 new
  [16/620] 曼哈顿东村串串香             → 20 results, 0 new
  [17/620] 曼哈顿东村烧烤              → 20 results, 10 new
  [18/620] 曼哈顿东村烤肉              → 20 results, 3 new
  [19/620] 曼哈顿东村饺子              → 20 results, 7 new
  [20/620] 曼哈顿东村面馆              → 20 results, 4 new
  [21/620] 曼哈顿东村拉面              → 20 results, 11 new
  [22/620] 曼哈顿东村米粉              → 20 results, 5 new
  [23/620] 曼哈顿东村螺蛳粉             → 8 results, 0 new
  [24/620] 曼哈顿东村早茶              → 11 results, 1 new
  [25/620] 曼哈顿东村点心              → 2 results, 0 new
  [26/620] 曼哈顿东村小笼包             → 20 results, 4 new
  [27/620] 曼哈顿东村包子              → 20 results, 1 new
  [28/620] 曼哈顿东村奶茶              → 20 results, 13 new
  [29/620] 曼哈顿东村茶饮              → 20 results, 7 new
  [30/620] 曼哈顿东村甜品              → 20 results, 7 new
  [31/620] 曼哈顿东村蛋糕              → 20 results, 13 new
  [32/620] 曼哈顿东村面包店             → 20 results, 7 new
  [33/620] 曼哈顿东村咖啡              → 20 results, 18 new
  [34/620] 曼哈顿东村日料              → 20 results, 15 new
  [35/620] 曼哈顿东村韩餐              → 20 results, 6 new
  [36/620] 曼哈顿东村越南菜             → 20 results, 8 new
  [37/620] 曼哈顿东村泰餐              → 20 results, 13 new
  [38/620] 曼哈顿东村海鲜              → 20 results, 8 new
  [39/620] 曼哈顿东村大排档             → 7 results, 0 new
  [40/620] 曼哈顿东村夜宵              → 20 results, 7 new
  [41/620] 曼哈顿东村外卖              → 20 results, 3 new
  [42/620] 曼哈顿东村华人超市            → 20 results, 6 new
  [43/620] 曼哈顿东村中国超市            → 20 results, 3 new
  [44/620] 曼哈顿东村亚洲超市            → 20 results, 3 new
  [45/620] 曼哈顿东村中医              → 20 results, 5 new
  [46/620] 曼哈顿东村针灸              → 20 results, 7 new
  [47/620] 曼哈顿东村推拿              → 20 results, 10 new
  [48/620] 曼哈顿东村中药              → 20 results, 0 new
  [49/620] 曼哈顿东村华人牙医            → 20 results, 11 new
  [50/620] 曼哈顿东村中文牙医            → 20 results, 2 new
  [51/620] 曼哈顿东村牙科              → 20 results, 7 new
  [52/620] 曼哈顿东村华人医生            → 20 results, 8 new
  [53/620] 曼哈顿东村家庭医生            → 20 results, 6 new
  [54/620] 曼哈顿东村内科              → 20 results, 11 new
  [55/620] 曼哈顿东村儿科              → 20 results, 4 new
  [56/620] 曼哈顿东村妇产科             → 20 results, 3 new
  [57/620] 曼哈顿东村皮肤科             → 20 results, 7 new
  [58/620] 曼哈顿东村眼科              → 20 results, 12 new
  [59/620] 曼哈顿东村骨科              → 20 results, 2 new
  [60/620] 曼哈顿东村心理咨询            → 11 results, 2 new
  [61/620] 曼哈顿东村药房              → 20 results, 11 new
  [62/620] 曼哈顿东村物理治疗            → 20 results, 17 new
  [63/620] 曼哈顿东村华人律师            → 20 results, 0 new
  [64/620] 曼哈顿东村移民律师            → 20 results, 2 new
  [65/620] 曼哈顿东村离婚律师            → 20 results, 0 new
  [66/620] 曼哈顿东村房产律师            → 20 results, 1 new
  [67/620] 曼哈顿东村刑事律师            → 20 results, 0 new
  [68/620] 曼哈顿东村工伤律师            → 2 results, 0 new
  [69/620] 曼哈顿东村公证翻译            → 16 results, 3 new
  [70/620] 曼哈顿东村华人会计            → 20 results, 1 new
  [71/620] 曼哈顿东村报税              → 10 results, 0 new
  [72/620] 曼哈顿东村CPA             → 20 results, 9 new
  [73/620] 曼哈顿东村华人保险            → 20 results, 3 new
  [74/620] 曼哈顿东村贷款              → 20 results, 3 new
  [75/620] 曼哈顿东村房贷              → 10 results, 1 new
  [76/620] 曼哈顿东村华人房产            → 3 results, 1 new
  [77/620] 曼哈顿东村地产经纪            → 20 results, 16 new
  [78/620] 曼哈顿东村房产中介            → 7 results, 2 new
  [79/620] 曼哈顿东村补习班             → 11 results, 4 new
  [80/620] 曼哈顿东村辅导班             → 8 results, 1 new
  [81/620] 曼哈顿东村中文学校            → 20 results, 6 new
  [82/620] 曼哈顿东村钢琴              → 20 results, 8 new
  [83/620] 曼哈顿东村舞蹈              → 20 results, 7 new
  [84/620] 曼哈顿东村画画              → 20 results, 20 new
  [85/620] 曼哈顿东村武术              → 12 results, 2 new
  [86/620] 曼哈顿东村驾校              → 20 results, 10 new
  [87/620] 曼哈顿东村幼儿园             → 9 results, 6 new
  [88/620] 曼哈顿东村学英语             → 15 results, 6 new
  [89/620] 曼哈顿东村SAT培训           → 14 results, 1 new
  [90/620] 曼哈顿东村升学顾问            → 8 results, 3 new
  [91/620] 曼哈顿东村华人装修            → 10 results, 1 new
  [92/620] 曼哈顿东村装修公司            → 20 results, 2 new
  [93/620] 曼哈顿东村水管工             → 5 results, 2 new
  [94/620] 曼哈顿东村电工              → 2 results, 1 new
  [95/620] 曼哈顿东村搬家              → 18 results, 0 new
  [96/620] 曼哈顿东村搬家公司            → 15 results, 0 new
  [97/620] 曼哈顿东村清洁              → 10 results, 4 new
  [98/620] 曼哈顿东村油漆              → 1 results, 0 new
  [99/620] 曼哈顿东村华人美发            → 20 results, 16 new
  [100/620] 曼哈顿东村理发              → 20 results, 6 new
  [101/620] 曼哈顿东村美甲              → 20 results, 16 new
  [102/620] 曼哈顿东村美容              → 20 results, 7 new
  [103/620] 曼哈顿东村按摩              → 20 results, 11 new
  [104/620] 曼哈顿东村SPA             → 20 results, 9 new
  [105/620] 曼哈顿东村纹眉              → 20 results, 5 new
  [106/620] 曼哈顿东村医美              → 20 results, 2 new
  [107/620] 曼哈顿东村华人修车            → 20 results, 1 new
  [108/620] 曼哈顿东村汽车维修            → 20 results, 6 new
  [109/620] 曼哈顿东村车行              → 20 results, 3 new
  [110/620] 曼哈顿东村旅行社             → 20 results, 6 new
  [111/620] 曼哈顿东村快递              → 10 results, 5 new
  [112/620] 曼哈顿东村寄包裹             → 18 results, 1 new
  [113/620] 曼哈顿东村摄影              → 12 results, 3 new
  [114/620] 曼哈顿东村婚纱照             → 20 results, 5 new
  [115/620] 曼哈顿东村翻译              → 3 results, 0 new
  [116/620] 曼哈顿东村印刷              → 20 results, 3 new
  [117/620] 曼哈顿东村裁缝              → 20 results, 8 new
  [118/620] 曼哈顿东村宠物              → 20 results, 7 new
  [119/620] 曼哈顿东村洗衣              → 20 results, 17 new
  [120/620] 曼哈顿东村修手机             → 20 results, 8 new
  [121/620] 曼哈顿东村珠宝              → 20 results, 2 new
  [122/620] 曼哈顿东村老人日托            → 3 results, 1 new
  [123/620] 曼哈顿东村教会              → 20 results, 16 new
  [124/620] 曼哈顿东村寺庙              → 20 results, 8 new

📍 Zone: East Village west (40.726, -73.992)
  [125/620] 曼哈顿东村中餐              → 20 results, 0 new
  [126/620] 曼哈顿东村川菜              → 20 results, 0 new
  [127/620] 曼哈顿东村粤菜              → 20 results, 0 new
  [128/620] 曼哈顿东村东北菜             → 20 results, 0 new
  [129/620] 曼哈顿东村湘菜              → 20 results, 0 new
  [130/620] 曼哈顿东村上海菜             → 20 results, 0 new
  [131/620] 曼哈顿东村北京菜             → 20 results, 0 new
  [132/620] 曼哈顿东村江浙菜             → 15 results, 0 new
  [133/620] 曼哈顿东村客家菜             → 11 results, 0 new
  [134/620] 曼哈顿东村云南菜             → 20 results, 0 new
  [135/620] 曼哈顿东村福建菜             → 14 results, 0 new
  [136/620] 曼哈顿东村台湾菜             → 18 results, 0 new
  [137/620] 曼哈顿东村小吃              → 20 results, 2 new
  [138/620] 曼哈顿东村火锅              → 14 results, 0 new
  [139/620] 曼哈顿东村麻辣烫             → 8 results, 0 new
  [140/620] 曼哈顿东村串串香             → 1 results, 0 new
  [141/620] 曼哈顿东村烧烤              → 20 results, 1 new
  [142/620] 曼哈顿东村烤肉              → 20 results, 0 new
  [143/620] 曼哈顿东村饺子              → 20 results, 0 new
  [144/620] 曼哈顿东村面馆              → 20 results, 0 new
  [145/620] 曼哈顿东村拉面              → 20 results, 1 new
  [146/620] 曼哈顿东村米粉              → 20 results, 0 new
  [147/620] 曼哈顿东村螺蛳粉             → 8 results, 0 new
  [148/620] 曼哈顿东村早茶              → 12 results, 0 new
  [149/620] 曼哈顿东村点心              → 2 results, 0 new
  [150/620] 曼哈顿东村小笼包             → 20 results, 0 new
  [151/620] 曼哈顿东村包子              → 20 results, 0 new
  [152/620] 曼哈顿东村奶茶              → 20 results, 0 new
  [153/620] 曼哈顿东村茶饮              → 20 results, 0 new
  [154/620] 曼哈顿东村甜品              → 20 results, 1 new
  [155/620] 曼哈顿东村蛋糕              → 20 results, 0 new
  [156/620] 曼哈顿东村面包店             → 20 results, 0 new
  [157/620] 曼哈顿东村咖啡              → 20 results, 1 new
  [158/620] 曼哈顿东村日料              → 20 results, 8 new
  [159/620] 曼哈顿东村韩餐              → 20 results, 1 new
  [160/620] 曼哈顿东村越南菜             → 20 results, 0 new
  [161/620] 曼哈顿东村泰餐              → 20 results, 1 new
  [162/620] 曼哈顿东村海鲜              → 20 results, 1 new
  [163/620] 曼哈顿东村大排档             → 6 results, 0 new
  [164/620] 曼哈顿东村夜宵              → 20 results, 0 new
  [165/620] 曼哈顿东村外卖              → 20 results, 0 new
  [166/620] 曼哈顿东村华人超市            → 20 results, 0 new
  [167/620] 曼哈顿东村中国超市            → 20 results, 1 new
  [168/620] 曼哈顿东村亚洲超市            → 20 results, 0 new
  [169/620] 曼哈顿东村中医              → 20 results, 0 new
  [170/620] 曼哈顿东村针灸              → 20 results, 0 new
  [171/620] 曼哈顿东村推拿              → 20 results, 2 new
  [172/620] 曼哈顿东村中药              → 20 results, 0 new
  [173/620] 曼哈顿东村华人牙医            → 20 results, 0 new
  [174/620] 曼哈顿东村中文牙医            → 20 results, 0 new
  [175/620] 曼哈顿东村牙科              → 20 results, 0 new
  [176/620] 曼哈顿东村华人医生            → 20 results, 0 new
  [177/620] 曼哈顿东村家庭医生            → 20 results, 0 new
  [178/620] 曼哈顿东村内科              → 20 results, 1 new
  [179/620] 曼哈顿东村儿科              → 20 results, 0 new
  [180/620] 曼哈顿东村妇产科             → 20 results, 0 new
  [181/620] 曼哈顿东村皮肤科             → 20 results, 1 new
  [182/620] 曼哈顿东村眼科              → 20 results, 0 new
  [183/620] 曼哈顿东村骨科              → 20 results, 0 new
  [184/620] 曼哈顿东村心理咨询            → 11 results, 0 new
  [185/620] 曼哈顿东村药房              → 20 results, 1 new
  [186/620] 曼哈顿东村物理治疗            → 20 results, 6 new
  [187/620] 曼哈顿东村华人律师            → 20 results, 0 new
  [188/620] 曼哈顿东村移民律师            → 20 results, 0 new
  [189/620] 曼哈顿东村离婚律师            → 20 results, 0 new
  [190/620] 曼哈顿东村房产律师            → 20 results, 0 new
  [191/620] 曼哈顿东村刑事律师            → 20 results, 0 new
